id,ts,co2,temp,hum,clear,nir,soil_moisture,soil_temp,soil_ec,soil_ph,soil_n,soil_p,soil_k,rssi,snr,battery_v,battery_i,battery_p,charging,light_gain,light_saturated,sleep_interval_s,awake_ms
1,2026-07-25T11:02:25.625380+00:00,269,47.1,15.8,11373,1281,,,,,,,,-40,12.5,3.772,58.9,222.2,1,1,,30,7923
2,2026-07-25T11:03:03.543435+00:00,91,47.6,15.9,13399,1246,,,,,,,,-38,12.25,3.768,51.7,194.8,1,1,,30,7922
3,2026-07-25T11:03:41.468480+00:00,162,48.7,15.2,16215,1222,,,,,,,,-38,12.5,3.768,37.9,142.8,1,1,1,30,7925
4,2026-07-25T11:04:19.382921+00:00,215,63.6,9.3,17000,1218,,,,,,,,-38,12,3.768,32.9,124,1,1,1,30,7923
5,2026-07-25T11:04:57.308435+00:00,162,61.5,9,18000,1287,,,,,,,,-37,12.75,3.772,51.6,194.6,1,1,1,30,7924
6,2026-07-25T11:05:35.179512+00:00,231,62.5,9.8,18000,1344,,,,,,,,-37,13,3.756,-56.1,-210.7,0,1,1,30,7924
7,2026-07-25T11:06:13.107379+00:00,233,63,9.6,18000,1381,,,,,,,,-37,12.5,3.752,-65.3,-245,0,1,1,30,7923
8,2026-07-25T11:06:51.043907+00:00,104,63.3,9.5,18000,1408,,,,,,,,-38,12.75,3.744,-146.7,-549.2,0,1,1,30,7922
9,2026-07-25T11:12:14.873473+00:00,149,60.3,10.4,18000,2352,,,,,,,,-38,12,3.776,49.1,185.4,1,1,1,30,7925
10,2026-07-25T11:12:52.797768+00:00,290,62,9.8,18000,2333,,,,,,,,-38,12.5,3.776,38.3,144.6,1,1,1,30,7924
11,2026-07-25T11:13:30.700652+00:00,263,62.7,9.4,18000,2571,,,,,,,,-38,12.25,3.772,51.2,193.1,1,1,1,30,7925
12,2026-07-25T11:18:54.327787+00:00,136,42.2,18.2,16228,3503,,,,,,,,-35,12.5,3.78,48.8,184.5,1,1,1,30,
13,2026-07-25T11:19:32.226056+00:00,132,42.3,18.3,14682,3293,,,,,,,,-35,12.25,3.776,25.3,95.5,1,1,,30,7923
14,2026-07-25T11:20:10.111167+00:00,131,42.5,17.8,15374,3629,,,,,,,,-35,11.5,3.772,38.9,146.7,1,1,,30,7924
15,2026-07-25T11:20:47.999670+00:00,169,41.6,18.8,17584,4055,,,,,,,,-35,12,3.78,61.8,233.6,1,1,1,30,7924
16,2026-07-25T11:21:25.941110+00:00,70,42.5,18.4,17784,4075,,,,,,,,-37,12,3.78,62.5,236.2,1,1,1,30,7926
17,2026-07-25T11:22:03.832343+00:00,237,41.5,19,17490,4075,,,,,,,,-35,12.5,3.764,-55.9,-210.4,0,1,1,30,7925
18,2026-07-25T11:22:41.757595+00:00,142,41.8,18.5,16645,3962,,,,,,,,-35,12.5,3.764,-92.7,-348.9,0,1,1,30,7923
19,2026-07-25T11:28:05.502872+00:00,24,43.4,17.4,18000,4687,,,,,,,,-35,11.5,3.784,75.4,285.3,1,1,1,30,7923
20,2026-07-25T11:28:43.414319+00:00,155,43.7,17.3,18000,4929,,,,,,,,-35,12,3.788,86.2,326.5,1,1,1,30,7924
21,2026-07-25T11:29:21.326490+00:00,169,43.9,17.3,18000,5085,,,,,,,,-35,12.25,3.788,94,356.1,1,1,1,30,
22,2026-07-25T11:29:59.234685+00:00,0,42.3,17.9,18000,5898,,,,,,,,-35,12.25,3.788,100.2,379.6,1,1,1,30,7924
23,2026-07-25T11:30:37.140706+00:00,180,42.3,18.2,18000,5699,,,,,,,,-35,12,3.772,-20.9,-78.8,0,1,1,30,7922
24,2026-07-25T11:31:15.088549+00:00,150,43.8,17.5,18000,6155,,,,,,,,-35,12.5,3.772,-28.6,-107.9,0,1,1,30,7923
25,2026-07-25T11:31:52.982482+00:00,168,43.3,17.3,18000,6344,,,,,,,,-35,12.25,3.792,114.5,434.2,1,1,1,30,
26,2026-07-25T11:37:16.795229+00:00,107,59.1,11.1,18000,5811,,,,,,,,-35,12,3.788,36.2,137.1,1,1,1,30,7924
27,2026-07-25T11:42:40.555124+00:00,0,43.4,17.2,18000,7836,,,,,,,,-35,12,3.796,114.9,436.2,1,1,1,30,7923
28,2026-07-25T11:43:18.453415+00:00,262,43.8,17.1,18000,7521,,,,,,,,-35,12,3.8,111.9,425.2,1,1,1,30,7925
29,2026-07-25T11:43:56.343574+00:00,111,43.5,17.2,18000,7350,,,,,,,,-36,11.75,3.796,113.9,432.4,1,1,1,30,7923
30,2026-07-25T11:44:34.281622+00:00,219,44.2,16.5,18000,5788,,,,,,,,-35,12,3.792,41.1,155.9,1,1,1,30,7923
31,2026-07-25T11:45:12.145916+00:00,251,44,17,18000,7948,,,,,,,,-35,11.5,3.8,108.6,412.7,1,1,1,30,
32,2026-07-25T11:45:50.035596+00:00,97,44.1,16.9,18000,7673,,,,,,,,-35,12,3.8,105.6,401.3,1,1,1,30,
33,2026-07-25T11:46:27.939974+00:00,270,43.8,16.8,18000,7520,,,,,,,,-35,12.25,3.796,89.2,338.6,1,1,1,30,7924
34,2026-07-25T11:47:05.809754+00:00,140,42.7,17.9,18000,7525,,,,,,,,-35,11.75,3.784,-10.8,-40.9,0,1,1,30,7928
35,2026-07-25T11:47:43.699673+00:00,163,42.9,17.7,18000,7571,,,,,,,,-35,12.25,3.78,-49.9,-188.6,0,1,1,30,7922
36,2026-07-25T11:53:07.618622+00:00,81,61,10,18000,8773,,,,,,,,-35,12.25,3.796,59.7,226.6,1,1,1,30,7924
37,2026-07-25T11:53:45.540006+00:00,214,60.7,10,18000,9021,,,,,,,,-35,12.5,3.796,60.5,229.7,1,1,1,30,7
38,2026-07-25T11:54:23.445680+00:00,269,60.7,10.3,18000,9097,,,,,,,,-35,12.75,3.792,59.1,224.1,1,1,1,30,7924
39,2026-07-25T11:55:01.367732+00:00,142,60.7,10.1,18000,9240,,,,,,,,-35,12.5,3.796,56.8,215.6,1,1,1,30,7924
40,2026-07-25T11:55:39.279033+00:00,166,61.3,9.9,18000,9125,,,,,,,,-35,11.75,3.784,-52.6,-199,0,1,1,30,7925
41,2026-07-25T11:56:17.195826+00:00,159,61.8,9.5,18000,9214,,,,,,,,-35,12.75,3.776,-101.1,-381.8,0,1,1,30,7922
42,2026-07-25T11:56:55.097985+00:00,120,61.3,9.8,18000,9058,,,,,,,,-36,12.25,3.796,47.8,181.4,1,1,1,30,7924
43,2026-07-25T11:57:32.993421+00:00,293,59.6,10.1,18000,9771,,,,,,,,-35,12,3.8,62.8,238.6,1,1,1,30,7922
44,2026-07-25T12:02:56.784946+00:00,156,43.9,16.6,18000,10499,,,,,,,,-35,12,3.792,-26.8,-101.6,0,1,1,30,7920
45,2026-07-25T12:03:34.717786+00:00,133,43.9,16.8,18000,10545,,,,,,,,-35,12.25,3.784,-34.5,-130.5,0,1,1,30,7929
46,2026-07-25T12:08:58.680862+00:00,154,61.1,9.7,18000,11392,,,,,,,,-44,12.5,3.8,55.7,211.7,1,1,1,30,7924
47,2026-07-25T12:14:22.482760+00:00,163,61.7,9.8,13954,12260,,,,,,,,-44,11.5,3.804,50.1,190.6,1,1,,30,7924
48,2026-07-25T12:19:45.966879+00:00,143,59.4,10.8,10990,10513,,,,,,,,-43,12,3.808,31.4,119.6,1,1,,30,7923
49,2026-07-25T12:25:23.556111+00:00,167,60.5,10.1,11902,11567,,,,,,,,-43,12,3.792,-70.8,-268.5,0,1,,30,7925
50,2026-07-25T12:25:50.553323+00:00,69,59.9,10.3,14772,11731,,,,,,,,-44,12,3.812,55.4,211.2,1,1,,30,7924
51,2026-07-25T12:31:14.343462+00:00,121,61.4,9.9,15401,10970,,,,,,,,-43,12.25,3.812,35,133.4,1,1,,30,7925
52,2026-07-25T12:31:52.236676+00:00,,,,,,,,,,,,,-43,12.25,,,,,,,,
53,2026-07-25T12:32:30.140929+00:00,131,62,9.7,15815,11489,,,,,,,,-43,13,3.796,-70.3,-266.9,0,1,,30,7923
54,2026-07-25T12:33:08.041075+00:00,142,61.2,9.3,15560,11666,,,,,,,,-44,12,3.792,-119.4,-452.8,0,1,,30,7926
55,2026-07-25T12:33:45.924069+00:00,,,,,,,,,,,,,-43,12,3.812,,,,1,,,
56,2026-07-25T12:35:04.751187+00:00,166,63.3,8.9,15485,12262,,,,,,,,-43,12.5,3.8,-62.8,-238.6,0,1,,30,7925
57,2026-07-25T12:35:42.649878+00:00,147,64,8.6,15312,12350,,,,,,,,-43,12.75,3.796,-92.8,-352.3,0,1,,30,7923
58,2026-07-25T12:36:20.569221+00:00,,,,,,,,,,,,,-43,12.25,,,,,,,,
59,2026-07-25T12:36:58.454011+00:00,133,64,8.6,14906,12260,,,,,,,,-43,11.75,3.812,49.3,187.9,1,1,,30,7923
60,2026-07-25T12:37:36.355955+00:00,141,64.1,8.7,14763,12242,,,,,,,,-44,12.25,3.816,48.2,183.9,1,1,,30,7924
61,2026-07-25T12:38:14.297360+00:00,221,62.3,8.4,14675,12210,,,,,,,,-44,12,3.816,44.5,169.8,1,1,,30,7925
62,2026-07-25T12:38:52.152297+00:00,244,64.3,8.5,14850,12150,,,,,,,,-43,12.5,3.82,49.6,189.5,1,1,,30,7924
63,2026-07-25T12:39:30.069934+00:00,78,,,,,,,,,,,,-44,12,,,182,,,,30,79274
64,2026-07-25T12:40:48.833192+00:00,257,63.4,8.8,14192,11990,,,,,,,,-43,11.75,3.816,47,179.4,1,1,,30,7923
65,2026-07-25T12:41:26.707641+00:00,232,62.7,9.4,13955,11886,,,,,,,,-43,11.75,3.816,43.9,167.5,1,1,,30,7925
66,2026-07-25T12:42:04.607576+00:00,182,61.3,9.6,13783,11739,,,,,,,,-45,12.25,3.816,45.5,173.6,1,1,,30,7926
67,2026-07-25T12:47:28.451295+00:00,135,60.1,10.4,11896,11209,,,,,,,,-43,12.25,3.82,46.9,179.2,1,1,,30,7920
68,2026-07-25T12:48:06.389265+00:00,91,61.4,10.6,11691,11132,,,,,,,,-42,12.5,3.82,47.3,180.7,1,1,,30,7925
69,2026-07-25T12:48:44.301318+00:00,,,,,,,,,,,,,-43,12,,,,,,,,
70,2026-07-25T12:49:22.204501+00:00,,,,,,,,,,,,,-42,12.75,,,,,,,,
71,2026-07-25T12:55:26.820278+00:00,243,60,10.3,15861,9989,,,,,,,,-42,13,3.804,-79.9,-303.9,0,1,,30,7924
72,2026-07-25T13:01:31.648451+00:00,109,44.3,17.5,18000,8574,,,,,,,,-43,12.25,3.828,67,256.5,1,1,1,30,7922
73,2026-07-25T13:02:09.568160+00:00,231,59.6,10.6,18000,8262,,,,,,,,-43,12.25,3.824,34.4,131.5,1,1,1,30,7925
74,2026-07-25T13:02:47.462010+00:00,119,60.5,10.1,18000,8082,,,,,,,,-43,13,3.828,38.3,146.6,1,1,1,30,7924
75,2026-07-25T13:03:25.395587+00:00,170,61.7,9.6,18000,7960,,,,,,,,-42,13.25,3.824,34.2,130.8,1,1,1,30,7925
76,2026-07-25T13:09:30.130867+00:00,262,61.8,9.5,18000,6445,,,,,,,,-42,11.75,3.828,38.1,145.8,1,1,1,30,7921
77,2026-07-25T13:10:08.023844+00:00,104,62,9.3,17927,6165,,,,,,,,-42,13,3.812,-75.4,-287.4,0,1,1,30,7924
78,2026-07-25T13:10:45.907164+00:00,114,60,10.2,17910,6129,,,,,,,,-42,12.25,3.808,-103.4,-393.7,0,1,1,30,7923
79,2026-07-25T13:11:23.826428+00:00,0,61.1,9.6,17505,5968,,,,,,,,-42,13,3.832,37.4,143.3,1,1,1,30,7924
80,2026-07-25T13:12:01.753100+00:00,,,,,,,,,,,,,-42,13,,,,,,,,
81,2026-07-25T13:12:39.671740+00:00,,,,,,,,,,,,,-42,13,3.832,31.9,122.2,1,,,30,79267
82,2026-07-25T13:13:17.566780+00:00,,,,,,,,,,,,,-42,12.25,,,,,,,,
83,2026-07-25T13:13:55.460253+00:00,137,61.1,9.6,16034,5261,,,,,,,,-43,12.5,3.828,35.1,134.4,1,1,,30,7924
84,2026-07-25T13:15:14.245304+00:00,86,61.5,9.7,15123,4845,,,,,,,,-43,11.75,3.832,31.1,119.2,1,1,,30,7923
85,2026-07-25T13:21:18.829134+00:00,171,62,9.2,11149,3173,,,,,,,,-43,11.5,3.832,35.5,136,1,1,,30,7923
86,2026-07-25T13:22:37.396348+00:00,231,47,15.1,10204,2846,,,,,,,,-43,11.75,3.836,34.3,131.6,1,1,,30,7923
