id,ts,co2,temp,hum,clear,nir,soil_moisture,soil_temp,soil_ec,soil_ph,soil_n,soil_p,soil_k,rssi,snr,solar_v,solar_i,solar_p,load_v,load_i,load_p,charging
1,2026-07-08T12:24:08.895538+00:00,1797,30.2,47.6,13,10,,,,,,,,-41,12.25,0.816,-0.3,0,,,,0
2,2026-07-08T12:24:23.023492+00:00,1846,30.2,50.2,16,13,,,,,,,,-38,13,0.82,-0.4,0,,,,0
3,2026-07-08T12:24:43.237899+00:00,0,30.2,50.6,13,9,,,,,,,,-44,12.5,2.788,408.7,1140,,,,1
4,2026-07-08T12:24:57.365121+00:00,1022,30.2,50.4,13,9,,,,,,,,-44,12.5,2.784,398.2,1110,,,,1
5,2026-07-08T12:25:11.504235+00:00,1723,30.2,49.6,15,11,,,,,,,,-41,12.5,2.808,241.5,678,,,,1
6,2026-07-08T12:25:25.634843+00:00,1864,30.2,47.9,16,10,,,,,,,,-45,12.75,2.808,240.6,676,,,,1
7,2026-07-08T12:25:39.768110+00:00,1646,30.2,47.3,16,10,,,,,,,,-44,12.5,2.804,239.5,672,,,,1
8,2026-07-08T12:25:53.906533+00:00,1385,30.2,46.8,12,9,,,,,,,,-52,12,2.796,240.9,676,,,,1
9,2026-07-08T12:26:08.029247+00:00,1184,30.2,47.4,17,11,,,,,,,,-48,12.5,2.792,238.9,668,,,,1
10,2026-07-08T12:26:22.168251+00:00,1042,30.2,46,18,11,,,,,,,,-49,12.5,2.784,239.7,684,,,,1
11,2026-07-08T12:26:36.297481+00:00,924,30.2,46.6,18,11,,,,,,,,-49,12,2.78,243,668,,,,1
12,2026-07-08T12:26:50.423447+00:00,836,30.2,46.1,18,11,,,,,,,,-49,12,2.772,247.2,684,,,,1
13,2026-07-08T12:27:04.540934+00:00,769,30.2,46,17,11,,,,,,,,-49,12,2.768,244.8,676,,,,1
14,2026-07-08T12:27:18.662170+00:00,718,30.2,45.9,17,11,,,,,,,,-49,11.75,2.76,245.7,678,,,,1
15,2026-07-08T12:27:32.783210+00:00,681,30.2,45.4,17,11,,,,,,,,-49,12,2.752,244.3,682,,,,1
16,2026-07-08T12:27:46.906978+00:00,640,30.2,46,17,11,,,,,,,,-49,11.5,2.748,248.2,682,,,,1
17,2026-07-08T12:28:01.021323+00:00,626,30.2,46,15,12,,,,,,,,-46,12,2.74,245.9,672,,,,1
18,2026-07-08T12:28:15.152162+00:00,612,30.3,46.7,14,10,,,,,,,,-41,12,2.728,246.7,672,,,,1
19,2026-07-08T12:28:29.289406+00:00,671,30.3,46.5,12,8,,,,,,,,-41,12,2.672,473.8,1264,,,,1
20,2026-07-08T12:28:43.409937+00:00,765,30.4,46.4,12,8,,,,,,,,-37,12.25,2.676,426.9,1140,,,,1
21,2026-07-08T12:28:57.542614+00:00,966,30.4,48.2,16,11,,,,,,,,-41,12.5,2.668,413.4,1114,,,,1
22,2026-07-08T12:29:11.674593+00:00,1299,30.4,46.2,16,12,,,,,,,,-42,13.5,2.692,248.1,678,,,,1
23,2026-07-08T12:29:25.817270+00:00,1271,30.4,45.1,15,12,,,,,,,,-40,12.75,2.688,253.1,678,,,,1
24,2026-07-08T12:29:39.948209+00:00,1103,30.4,45.8,16,11,,,,,,,,-46,12.75,2.676,255.7,682,,,,1
25,2026-07-08T12:29:54.065722+00:00,986,30.4,46.1,16,13,,,,,,,,-44,12,2.668,254.9,682,,,,1
26,2026-07-08T12:30:08.184411+00:00,905,30.5,46.6,14,9,,,,,,,,-40,13,2.66,255.2,678,,,,1
27,2026-07-08T12:30:22.311721+00:00,840,30.5,46.6,13,9,,,,,,,,-51,13.5,2.648,259.2,684,,,,1
28,2026-07-08T12:30:36.433205+00:00,792,30.5,46.3,15,12,,,,,,,,-49,11.75,2.632,255.2,682,,,,1
29,2026-07-08T12:30:50.573315+00:00,784,30.6,45.6,14,10,,,,,,,,-38,12,2.628,261,684,,,,1
30,2026-07-08T12:31:04.701075+00:00,780,30.6,46,9,5,,,,,,,,-47,12.25,2.612,260.5,688,,,,1
31,2026-07-08T12:31:18.829185+00:00,755,30.6,46,9,5,,,,,,,,-45,12,2.6,260.8,678,,,,1
32,2026-07-08T12:31:32.947774+00:00,140,30.6,51.8,9,6,,,,,,,,-39,12.5,2.588,265.7,688,,,,1
33,2026-07-08T12:31:47.080132+00:00,1282,30.6,47.7,134,40,,,,,,,,-42,12.5,2.576,266.8,684,,,,1
34,2026-07-08T12:32:01.215914+00:00,1031,30.7,46.8,135,40,,,,,,,,-48,12,2.564,263.4,688,,,,1
35,2026-07-08T12:32:15.356386+00:00,934,30.7,46.5,138,44,,,,,,,,-39,13.25,2.548,265.2,688,,,,1
36,2026-07-08T12:32:29.485004+00:00,898,30.6,47,137,42,,,,,,,,-42,12.75,2.468,564.6,1390,,,,1
37,2026-07-08T12:32:43.618092+00:00,969,30.6,46.1,137,41,,,,,,,,-50,12,2.472,470.3,1166,,,,1
38,2026-07-08T12:32:57.755200+00:00,911,30.5,45.5,138,41,,,,,,,,-45,12.75,2.456,460.6,1130,,,,1
39,2026-07-08T12:33:11.904033+00:00,840,30.5,45.7,137,41,,,,,,,,-39,12.25,2.48,279.8,692,,,,1
40,2026-07-08T12:33:26.038854+00:00,775,30.4,46.4,197,67,,,,,,,,-34,13.5,2.464,280.8,692,,,,1
41,2026-07-08T12:33:40.174595+00:00,768,30.4,46.7,198,67,,,,,,,,-34,13,2.448,280,684,,,,1
42,2026-07-08T12:33:54.301050+00:00,787,30.4,47.1,173,68,,,,,,,,-68,-9.5,2.168,312.9,,,,,1
