id,ts,co2,temp,hum,clear,nir,soil_moisture,soil_temp,soil_ec,soil_ph,soil_n,soil_p,soil_k,rssi,snr,battery_v,battery_i,battery_p,charging
1,2026-07-13T14:02:55.168489+00:00,1999,28.6,47.8,13,10,,,,,,,,-22.0,11.75,4.076,58.4,238.0,1
2,2026-07-13T14:04:57.686596+00:00,2625,28.6,45.1,12,10,,,,,,,,-25.0,13.0,4.064,-58.9,-239.4,0
3,2026-07-13T14:07:00.425767+00:00,438,31.1,40.3,1000,1000,,,,,,,,-62.0,12.5,4.048,-168.6,-682.5,0
4,2026-07-13T14:09:03.693317+00:00,244,37.4,30.3,1000,1000,,,,,,,,-62.0,12.75,4.048,-170.0,-688.2,0
5,2026-07-13T14:19:07.841955+00:00,264,37.9,30.7,1000,1000,,,,,,,,-60.0,13.0,4.04,-170.8,-690.0,0
6,2026-07-13T14:24:07.424235+00:00,283,34.7,32.0,1000,1000,,,,,,,,-47.0,13.0,4.04,-171.3,-692.1,0
7,2026-07-13T14:28:09.254513+00:00,332,35.2,31.0,1000,1000,,,,,,,,-46.0,12.25,4.028,-327.6,-1319.6,0
8,2026-07-13T14:32:11.516032+00:00,324,37.0,28.2,1000,1000,,,,,,,,-45.0,12.25,4.04,-172.4,-696.5,0
9,2026-07-13T14:37:10.727194+00:00,382,35.3,30.5,1000,1000,,,,,,,,-47.0,12.75,4.036,-170.9,-689.8,0
10,2026-07-13T14:47:13.328197+00:00,279,34.8,31.1,1000,1000,,,,,,,,-45.0,12.0,4.028,-277.8,-1119.0,0
11,2026-07-13T14:52:14.779115+00:00,222,36.9,28.6,1000,1000,,,,,,,,-46.0,13.0,4.032,-172.9,-697.1,0
12,2026-07-13T14:57:15.060778+00:00,345,36.5,29.3,1000,1000,,,,,,,,-46.0,12.25,4.032,-172.5,-695.5,0
13,2026-07-13T15:12:21.035398+00:00,274,34.8,31.1,1000,1000,,,,,,,,-45.0,12.5,4.032,-171.7,-692.3,0
14,2026-07-13T15:22:24.276078+00:00,315,34.9,30.7,1000,1000,,,,,,,,-46.0,12.25,4.024,-172.4,-693.7,0
15,2026-07-13T15:32:26.357891+00:00,313,33.5,32.8,1000,1000,,,,,,,,-47.0,13.25,4.024,-171.5,-690.1,0
16,2026-07-13T15:40:51.451482+00:00,349,34.8,30.7,1000,1000,,,,,,,,-47.0,13.25,4.02,-167.9,-675.0,0
17,2026-07-13T15:50:57.052377+00:00,430,35.2,30.0,1000,993,,,,,,,,-47.0,12.5,4.02,-171.1,-687.8,0
18,2026-07-13T15:55:58.059898+00:00,293,35.2,30.8,1000,988,,,,,,,,-47.0,13.0,4.016,-170.3,-683.9,0
19,2026-07-13T16:01:00.669066+00:00,267,37.1,28.6,1000,964,,,,,,,,-47.0,12.75,4.016,-171.3,-687.9,0
20,2026-07-13T16:06:00.700646+00:00,395,34.1,30.7,1000,922,,,,,,,,-47.0,12.5,4.016,-170.7,-685.5,0
21,2026-07-13T16:16:06.645320+00:00,269,,,,,,,,,,,,-46.0,12.25,,,,
22,2026-07-13T16:26:11.147204+00:00,328,33.3,31.9,1000,774,,,,,,,,-47.0,12.75,4.012,-170.5,-684.0,0
23,2026-07-13T16:41:20.240229+00:00,438,30.2,38.3,1000,717,,,,,,,,-47.0,12.25,4.008,-169.7,-680.2,0
24,2026-07-13T16:46:20.696407+00:00,514,29.1,39.4,1000,709,,,,,,,,-46.0,12.5,4.004,-167.2,-669.5,0
25,2026-07-13T16:51:21.801319+00:00,400,28.5,41.9,1000,680,,,,,,,,-46.0,12.0,3.996,-272.0,-1086.9,0
26,2026-07-13T16:56:23.377920+00:00,395,29.1,41.9,1000,669,,,,,,,,-47.0,12.5,4.004,-168.2,-673.5,0
27,2026-07-14T09:58:15.243936+00:00,357,25.2,54.0,,,,,,,,,,-19.0,12.75,,,,
28,2026-07-14T10:08:20.956620+00:00,233,28.0,49.0,1000,1000,,,,,,,,-52.0,12.25,3.948,-76.3,-301.2,0
29,2026-07-14T10:13:22.086475+00:00,175,27.2,49.5,1000,1000,,,,,,,,-55.0,12.0,3.952,-51.7,-204.3,0
30,2026-07-14T10:18:23.413905+00:00,224,27.1,50.2,1000,1000,,,,,,,,-56.0,12.75,3.936,-162.8,-640.8,0
31,2026-07-14T10:28:29.156881+00:00,83,28.6,47.1,1000,1000,,,,,,,,-54.0,12.5,3.96,-46.0,-182.2,0
32,2026-07-14T10:38:34.470637+00:00,197,28.4,48.2,1000,1000,,,,,,,,-56.0,12.0,3.976,21.1,83.9,1
33,2026-07-14T10:48:40.851542+00:00,184,32.2,41.1,1000,1000,,,,,,,,-52.0,12.25,3.988,29.3,116.8,1
34,2026-07-14T10:53:41.436691+00:00,179,31.1,42.0,1000,1000,,,,,,,,-53.0,12.75,3.98,-15.9,-63.3,0
35,2026-07-14T10:58:42.388150+00:00,168,30.0,44.5,1000,1000,,,,,,,,-50.0,12.0,3.976,-41.4,-164.6,0
36,2026-07-14T11:03:43.282994+00:00,250,28.4,48.2,1000,1000,,,,,,,,-55.0,12.0,3.984,-1.6,-6.4,0
37,2026-07-14T11:13:49.732463+00:00,223,31.7,42.3,1000,1000,,,,,,,,-51.0,12.75,3.98,-41.7,-166.0,0
38,2026-07-14T11:18:48.920708+00:00,212,28.1,49.9,1000,1000,,,,,,,,-49.0,12.0,3.976,-66.9,-266.0,0
39,2026-07-14T11:28:54.648243+00:00,216,29.5,47.3,1000,1000,,,,,,,,-53.0,12.75,3.976,-65.3,-25.0,0
40,2026-07-14T11:38:59.414013+00:00,210,30.5,45.4,1000,1000,,,,,,,,-51.0,12.75,4.016,136.9,549.8,1
41,2026-07-14T11:59:13.731264+00:00,176,34.9,37.2,1000,1000,,,,,,,,-53.0,12.0,4.012,10.4,41.7,1
42,2026-07-14T12:04:14.611130+00:00,206,37.5,33.6,1000,1000,,,,,,,,-59.0,12.75,4.036,127.4,514.2,1
43,2026-07-14T12:09:14.534285+00:00,233,35.8,35.9,1000,1000,,,,,,,,-59.0,11.75,4.02,17.6,70.8,1
44,2026-07-14T12:14:15.932965+00:00,254,37.5,32.4,1000,1000,,,,,,,,-60.0,12.5,4.04,125.7,507.8,1
45,2026-07-14T12:39:32.840539+00:00,73,36.9,33.3,1000,1000,,,,,,,,-56.0,13.0,4.056,-46.5,-188.6,0
46,2026-07-14T12:44:33.569042+00:00,210,36.2,34.5,1000,1000,,,,,,,,-55.0,12.25,4.044,6.0,24.3,1
47,2026-07-14T12:49:34.906516+00:00,264,37.7,31.9,1000,1000,,,,,,,,-52.0,12.5,4.064,104.5,424.7,1
48,2026-07-14T12:54:35.869254+00:00,244,36.4,33.8,1000,1000,,,,,,,,-51.0,12.25,4.056,47.5,192.7,1
49,2026-07-14T12:59:37.063418+00:00,232,38.1,31.3,1000,1000,,,,,,,,-53.0,12.5,4.072,109.0,443.8,1
50,2026-07-14T13:04:38.586837+00:00,272,39.1,30.4,1000,1000,,,,,,,,-54.0,12.25,4.076,100.9,411.3,1
51,2026-07-14T13:09:39.749481+00:00,269,37.8,31.3,1000,1000,,,,,,,,-52.0,12.75,4.076,104.4,425.5,1
52,2026-07-14T13:14:41.346232+00:00,187,39.5,30.3,1000,1000,,,,,,,,-49.0,12.5,4.06,-17.6,-71.5,0
